plus
BEGIN
121,203
126,203
134,202
143,200
152,199
161,199
170,198
177,196
185,196
193,196
201,196
208,196
214,196
220,196
228,196
235,198
243,199
251,199
258,200
264,202
268,202
271,203
273,203
276,203
278,203
279,203
281,203
282,203
192,122
192,123
192,130
191,136
190,143
190,153
188,161
187,168
185,176
183,184
183,190
181,197
179,205
178,211
177,216
176,222
175,227
174,232
173,236
173,241
172,243
171,246
170,248
170,251
170,252
170,253
170,256
170,259
170,263
170,264
169,266
169,267
169,268
169,269
END
BEGIN
67,204
69,203
71,202
74,200
78,198
83,195
90,191
99,188
107,184
120,181
132,176
148,171
169,167
187,165
208,160
226,158
248,156
266,154
284,151
298,151
311,148
322,147
330,145
338,144
344,143
348,141
350,141
352,140
353,140
353,141
174,43
174,48
176,55
177,65
178,73
179,83
181,95
182,111
183,123
185,135
186,149
188,163
189,180
191,195
193,215
193,229
195,242
196,254
197,265
198,273
199,280
199,284
199,285
200,287
END
BEGIN
139,137
147,153
152,161
156,171
162,179
167,187
172,195
176,201
179,207
181,211
183,214
184,216
185,217
186,219
186,220
187,221
188,221
98,221
111,214
119,209
132,201
144,193
155,185
165,177
172,173
177,169
183,165
188,161
192,158
196,155
197,153
199,153
200,152
200,151
201,151
202,151
END
BEGIN
130,237
148,228
156,224
164,220
177,213
189,207
201,201
212,195
223,189
232,184
242,178
251,173
259,169
264,167
267,165
269,165
271,164
273,164
277,162
166,126
174,141
178,149
184,161
191,175
199,191
212,215
224,238
236,259
246,277
255,294
262,309
268,320
272,326
273,329
END
BEGIN
172,176
175,190
176,193
179,202
182,211
188,225
194,241
200,256
204,266
204,269
138,263
159,250
172,244
189,237
216,225
241,215
261,208
272,204
276,202
END
BEGIN
188,145
190,157
191,160
192,166
194,173
196,179
197,184
199,189
200,193
202,198
204,201
204,205
206,207
206,209
207,212
208,213
208,214
208,215
151,196
168,186
175,182
183,178
192,174
200,169
212,163
224,157
231,153
237,149
244,146
249,143
254,141
258,139
260,138
261,137
263,137
264,137
264,136
END
BEGIN
257,336
250,312
244,294
235,265
232,251
228,237
226,225
224,214
222,201
221,199
220,196
306,260
292,261
288,262
284,262
276,264
267,266
260,268
254,269
247,271
240,273
232,276
225,279
212,285
198,292
188,296
186,297
END
BEGIN
127,281
140,273
148,268
157,262
167,256
180,248
192,241
204,233
214,226
224,220
232,214
241,209
249,203
254,200
259,197
262,195
264,193
266,193
267,192
268,192
268,191
156,179
162,196
164,203
168,212
172,221
178,233
184,245
189,256
192,262
196,269
200,275
203,281
206,286
208,290
211,293
212,296
212,297
214,299
214,300
215,301
216,301
216,302
216,303
216,302
217,302
217,301
218,301
219,301
END
BEGIN
323,217
308,214
304,214
299,213
294,213
288,213
284,213
278,213
263,213
248,213
240,213
232,213
224,213
217,213
202,214
188,215
174,215
167,215
160,216
149,217
139,217
129,219
120,220
115,221
110,222
103,224
97,225
96,225
194,109
195,126
195,137
195,154
195,165
194,172
194,181
194,189
193,207
193,221
193,233
193,245
193,257
193,265
193,279
194,289
195,299
196,307
196,316
197,324
199,332
200,345
202,353
202,356
END
BEGIN
339,233
327,233
321,233
313,233
310,233
307,233
303,234
299,234
290,234
282,235
277,235
272,235
266,235
260,236
253,236
247,236
234,236
222,237
210,237
198,237
186,238
175,239
164,240
159,240
153,241
144,241
135,242
132,242
129,242
127,243
124,243
122,243
120,244
117,244
115,244
111,244
108,245
107,245
104,245
102,245
100,245
99,245
208,120
204,137
203,141
202,145
202,148
201,151
201,155
200,159
200,167
200,172
200,176
200,181
199,185
199,190
199,194
199,201
199,208
199,213
198,220
198,232
199,243
199,253
199,263
199,269
199,276
199,282
199,288
199,292
199,296
199,297
199,300
199,301
199,302
199,303
199,304
200,305
END
BEGIN
112,218
125,217
132,217
137,216
142,216
150,215
159,214
168,213
182,212
196,211
208,209
221,209
227,208
232,207
244,205
253,203
262,201
270,200
276,198
281,197
286,196
