MOUSEDOWN
69,130
84,129
87,128
92,127
97,125
108,123
118,121
131,117
144,113
156,109
168,105
180,101
193,97
204,93
216,89
226,85
235,81
243,77
248,75
252,73
256,73
258,71
260,71
260,70
261,70
262,70
262,69
263,69
263,70
263,71
263,73
264,73
264,75
264,76
264,80
266,85
268,92
269,100
271,108
274,116
276,124
280,131
281,137
284,141
285,145
286,147
287,150
288,153
289,155
289,157
290,159
291,161
291,162
291,163
292,164
292,165
292,166
292,167
292,168
292,169
292,170
291,170
288,171
284,172
278,174
269,177
261,179
252,181
243,185
234,188
225,191
216,194
204,198
192,202
185,205
178,207
171,209
164,212
156,214
150,217
143,219
137,221
132,223
127,225
123,226
120,227
119,228
117,229
116,229
115,229
114,229
113,229
112,229
113,229
112,228
112,226
110,223
108,221
105,217
104,215
101,212
100,209
98,207
96,205
95,201
93,199
92,196
90,193
89,190
88,186
86,183
84,180
83,176
81,173
80,169
77,165
76,161
74,157
72,154
72,151
70,149
69,146
68,145
68,143
68,141
67,141
67,140
66,139
66,138
66,137
67,137
68,137
68,138
MOUSEUP
RECOGNIZE
