MOUSEDOWN
115,265
117,253
119,245
122,235
125,224
130,209
133,196
136,187
137,180
139,173
140,167
142,161
143,157
143,155
144,153
144,152
144,151
144,150
144,149
144,148
144,149
145,149
146,150
148,152
149,154
151,157
153,160
156,163
160,169
166,177
172,186
180,195
185,203
191,210
194,213
195,215
196,215
196,216
196,217
197,217
198,218
198,219
199,220
200,220
200,221
200,222
201,222
201,223
202,223
202,224
203,224
203,225
204,225
204,226
205,227
205,228
205,227
206,228
207,229
208,230
208,231
209,233
210,233
211,234
211,235
212,235
212,236
212,237
213,237
214,237
214,238
214,239
214,240
215,240
215,241
213,241
212,241
209,241
207,241
205,241
203,241
201,241
199,241
196,241
194,241
191,242
187,242
185,243
184,243
180,244
177,244
173,245
170,245
167,246
165,246
163,247
160,248
156,249
153,250
151,251
148,253
146,253
144,254
141,255
139,256
136,257
135,257
134,257
133,258
132,258
131,259
130,259
129,259
128,260
127,260
127,261
126,261
125,261
124,261
124,262
123,262
123,263
122,263
122,264
121,264
121,265
MOUSEUP
RECOGNIZE
